lower_layer_super_output_areas_code,asian_asian_british_or_asian_welsh_bangladeshi,asian_asian_british_or_asian_welsh_chinese,asian_asian_british_or_asian_welsh_indian,asian_asian_british_or_asian_welsh_pakistani,asian_asian_british_or_asian_welsh_other_asian
E01002790,0.010623229461756374,0.024079320113314446,0.021954674220963172,0.007082152974504249,0.025495750708215296
E01002791,0.03274288781535158,0.02200751476113795,0.017713365539452495,0.001610305958132045,0.017713365539452495
E01002792,0.004875406283856988,0.016793066088840736,0.009209100758396533,0.0016251354279523294,0.014626218851570965
E01002793,0.033622559652928416,0.012472885032537961,0.015726681127982648,0.0032537960954446853,0.01789587852494577
E01002794,0.01957905041605482,0.030837004405286344,0.022515907978463045,0.003915810083210965,0.023494860499265784
E01002795,0.041300980898296334,0.025296850800206504,0.025296850800206504,0.002065049044914817,0.024264326277749097
E01002796,0.032520325203252036,0.015356820234869015,0.012646793134598013,0.005420054200542005,0.0036133694670280035
E01002797,0.018691588785046728,0.014843320505772403,0.016492578339747113,5.497526113249038e-4,0.019241341396371632
E01002798,0.00708502024291498,0.01568825910931174,0.022267206477732792,0.0025303643724696357,0.011639676113360324
E01002799,0.04186289900575615,0.01674515960230246,0.01098901098901099,0.0010465724751439038,0.027210884353741496
E01002800,0.050818746470920384,0.030491247882552232,0.018068887634105024,0.001129305477131564,0.014680971202710334
E01002801,0.011667810569663692,0.022649279341111873,0.011667810569663692,0.004118050789293068,0.015099519560741249
E01002802,0.03511615343057806,0.019448946515397084,0.01728795245813074,0.0032414910858995136,0.019989195029713667
E01002804,0.023391812865497075,0.005847953216374269,0.02014294996751137,0.007147498375568551,0.024041585445094216
E01002805,0.017458100558659217,0.015363128491620111,0.0111731843575419,0.004888268156424581,0.0223463687150838
E01002806,0.021237864077669904,0.0054611650485436895,0.007888349514563107,0.003033980582524272,0.007888349514563107
E01002807,0.022313564298297124,0.009982384028185555,0.020551967116852612,0.005284791544333529,0.02524955960070464
E01002808,0.03239289446185998,0.0109717868338558,0.01619644723092999,0.0073145245559038665,0.018808777429467086
E01002809,0.1413427561837456,0.014134275618374558,0.0176678445229682,0.004122497055359246,0.012956419316843345
E01002810,0.028669724770642203,0.00974770642201835,0.011467889908256881,0.0034403669724770644,0.017201834862385322
E01002811,0.016666666666666666,0.00632183908045977,0.01206896551724138,0.0034482758620689655,0.016666666666666666
E01002812,0.003997335109926716,0.05996002664890073,0.02531645569620253,0.012658227848101266,0.06528980679546968
E01002813,0.004048582995951417,0.02699055330634278,0.02631578947368421,0.010796221322537112,0.033738191632928474
E01002814,0.01031852848811126,0.037236428891879766,0.03992821893225662,0.016599371915657246,0.08209959623149395
E01002815,0.005185825410544511,0.032843560933448576,0.025064822817631807,0.028522039757994815,0.07260155574762317
E01002816,0,0.04154863078375826,0.028328611898016998,0.015108593012275733,0.03871576959395656
E01002817,0.004454342984409799,0.0334075723830735,0.021529324424647365,0.010393466963622866,0.0334075723830735
E01002818,0.005054151624548736,0.020216606498194945,0.03032490974729242,0.02454873646209386,0.07942238267148015
E01002819,9.208103130755065e-4,0.027624309392265192,0.02394106813996317,0.007366482504604052,0.058931860036832415
